metric_version,dataset,model,model_size,train_type,lambda,seed,group_type,group_value,ref_coda,hyp_coda,count,ref_total,row_rate
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,none,t,86,409,0.210268948655
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,none,c,32,409,0.078239608802
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,none,ch,6,409,0.014669926650
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,none,m,97,409,0.237163814181
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,none,p,11,409,0.026894865526
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,n,none,73,3214,0.022713130056
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,n,n,3002,3214,0.934038581207
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,n,ng,100,3214,0.031113876789
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,n,nh,26,3214,0.008089607965
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,n,t,5,3214,0.001555693839
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,n,c,2,3214,0.000622277536
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,n,ch,0,3214,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,n,m,6,3214,0.001866832607
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,n,p,0,3214,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ng,none,41,3282,0.012492382693
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ng,n,82,3282,0.024984765387
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ng,ng,3113,3282,0.948507007922
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ng,nh,10,3282,0.003046922608
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ng,t,2,3282,0.000609384522
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ng,c,2,3282,0.000609384522
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ng,ch,0,3282,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ng,m,30,3282,0.009140767824
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ng,p,2,3282,0.000609384522
