dataset,model,model_size,train_type,lambda,seed,snr,n,wer,cer,ter,der,fcer,swdr,metric_version
vivos,phowhisper,small,zero_shot,,42,5,300,0.09209666884389288,0.04529670499266919,0.010977337110481586,0.004953998584571833,0.06601307189542484,0.0,aligned_v1
vivos,phowhisper,small,zero_shot,,42,0,300,0.14435009797517961,0.08009877305347635,0.01629026286560533,0.0059193488716241215,0.10802069857697283,0.0,aligned_v1
vivos,phowhisper,small,zero_shot,,42,noisy_all,1200,0.0928314826910516,0.04653136816112354,0.01166902404526167,0.005472680730867685,0.061845549738219895,0.0,aligned_v1
vivos,phowhisper,small,zero_shot,,42,all,1500,0.08693664271717831,0.042889111814183194,0.011253340835560557,0.005546973739643309,0.05583224115334207,0.0,aligned_v1
vivos,phowhisper,tiny,zero_shot,,42,clean,300,0.0999346832135859,0.04244154641561849,0.014973262032085561,0.009216589861751152,0.06110381077529566,0.0,aligned_v1
vivos,phowhisper,tiny,zero_shot,,42,20,300,0.11430437622468975,0.05008102477042982,0.017992083483267363,0.010371959942775394,0.07100591715976332,0.006711409395973154,aligned_v1
vivos,phowhisper,tiny,zero_shot,,42,10,300,0.1404310907903331,0.06975846901767112,0.016568483063328424,0.01206140350877193,0.09358638743455497,0.006711409395973154,aligned_v1
vivos,phowhisper,tiny,zero_shot,,42,5,300,0.19431743958197256,0.106644031175245,0.022290545734050732,0.013724742661075104,0.13043478260869565,0.013422818791946308,aligned_v1
vivos,phowhisper,tiny,zero_shot,,42,0,300,0.36610058785107774,0.2244000308665792,0.03622872108249672,0.016971279373368148,0.24107142857142858,0.013422818791946308,aligned_v1
vivos,phowhisper,tiny,zero_shot,,42,noisy_all,1200,0.2037883736120183,0.1127208889574813,0.022718521370812476,0.013106285276953985,0.13478402078596946,0.010067114093959731,aligned_v1
vivos,phowhisper,tiny,zero_shot,,42,all,1500,0.1830176355323318,0.09866502044910873,0.021071780489653604,0.01227964441765858,0.12018229166666666,0.008053691275167786,aligned_v1
vivos,whisper,base,zero_shot,,42,clean,300,0.3726322664924886,0.18280731537927308,0.09274004683840749,0.039406583217431616,0.26461143224149003,0.013422818791946308,aligned_v1
vivos,whisper,base,zero_shot,,42,20,300,0.3798171129980405,0.18774596805309052,0.09712399811409712,0.041237113402061855,0.27471116816431324,0.013422818791946308,aligned_v1
vivos,whisper,base,zero_shot,,42,10,300,0.4359895493141737,0.23111351184504977,0.10278053624627606,0.03608502224419179,0.3047923322683706,0.013422818791946308,aligned_v1
vivos,whisper,base,zero_shot,,42,5,300,0.49444807315480077,0.27216606219615713,0.12273972602739726,0.04263565891472868,0.37570799244808056,0.020134228187919462,aligned_v1
vivos,whisper,base,zero_shot,,42,0,300,0.7883736120182887,0.5410139671270932,0.17893401015228427,0.034529451591062965,0.4918429003021148,0.03355704697986577,aligned_v1
vivos,whisper,base,zero_shot,,42,noisy_all,1200,0.524657086871326,0.3080098773053476,0.121947983014862,0.038844086021505374,0.36375058897439927,0.020134228187919462,aligned_v1
vivos,whisper,base,zero_shot,,42,all,1500,0.49425212279555847,0.28296936492013275,0.11549994829903837,0.03897051161821403,0.3442705704189803,0.01879194630872483,aligned_v1
vivos,whisper,small,zero_shot,,42,clean,300,0.28118876551273675,0.15819121845821438,0.06613545816733067,0.020432692307692308,0.16091205211726384,0.020134228187919462,aligned_v1
vivos,whisper,small,zero_shot,,42,20,300,0.2635532331809275,0.14414692491704606,0.05910543130990415,0.01958433253397282,0.15590345727332028,0.013422818791946308,aligned_v1
vivos,whisper,small,zero_shot,,42,10,300,0.27792292619203135,0.1437610926769041,0.06347897774113767,0.02342786683107275,0.18652849740932642,0.006711409395973154,aligned_v1
vivos,whisper,small,zero_shot,,42,5,300,0.32135858915741344,0.1821128173470175,0.06776003452740613,0.023478260869565216,0.2274183215887252,0.006711409395973154,aligned_v1
vivos,whisper,small,zero_shot,,42,0,300,0.47419986936642716,0.30233814337526044,0.08540076335877862,0.02616279069767442,0.31476846057571967,0.026845637583892617,aligned_v1
vivos,whisper,small,zero_shot,,42,noisy_all,1200,0.3342586544741999,0.19308974457905703,0.06828641763887403,0.023013227228734272,0.22209749839640797,0.013422818791946308,aligned_v1
vivos,whisper,small,zero_shot,,42,all,1500,0.3236446766819073,0.18611003935488848,0.06783092887876487,0.022467147096227214,0.21001158152103977,0.01476510067114094,aligned_v1
vivos,whisper,tiny,zero_shot,,42,clean,300,0.49477465708687135,0.24400030866579211,0.11570247933884298,0.06220347917764892,0.3297536323436513,0.026845637583892617,aligned_v1
vivos,whisper,tiny,zero_shot,,42,20,300,0.5558458523840627,0.2897600123466317,0.11273957158962795,0.0561307901907357,0.34398496240601506,0.013422818791946308,aligned_v1
vivos,whisper,tiny,zero_shot,,42,10,300,0.6681907250163291,0.39941353499498417,0.14213518635502212,0.05976586568083796,0.4144981412639405,0.026845637583892617,aligned_v1
vivos,whisper,tiny,zero_shot,,42,5,300,0.8344219464402352,0.5583764179334825,0.17613227893601727,0.07324147933284988,0.502983293556086,0.040268456375838924,aligned_v1
vivos,whisper,tiny,zero_shot,,42,0,300,1.1404310907903332,0.8391851223088201,0.22337662337662337,0.07038391224862889,0.6117445838084379,0.04697986577181208,aligned_v1
vivos,whisper,tiny,zero_shot,,42,noisy_all,1200,0.79972240365774,0.5216837718959796,0.15720819922073523,0.0637329286798179,0.4719879518072289,0.031879194630872486,aligned_v1
vivos,whisper,tiny,zero_shot,,42,all,1500,0.7387328543435663,0.46614707924994214,0.14744752526561286,0.0633622892181911,0.4446065912683935,0.03087248322147651,aligned_v1
