dataset,model,model_size,train_type,lambda,seed,noise_type,n,wer,cer,ter,der,fcer,swdr,metric_version
vivos,whisper,base,zero_shot,,42,noise,556,0.45654468684025334,0.2400565230040314,0.11173184357541899,0.03296703296703297,0.342042755344418,0.010380622837370242,aligned_v1
vivos,whisper,base,zero_shot,,42,speech,250,0.7847533632286996,0.5729987355315631,0.16605166051660517,0.04669260700389105,0.4606918238993711,0.0423728813559322,aligned_v1
vivos,whisper,small,zero_shot,,42,clean,300,0.28118876551273675,0.15819121845821438,0.06613545816733067,0.020432692307692308,0.16091205211726384,0.020134228187919462,aligned_v1
vivos,whisper,small,zero_shot,,42,music,394,0.27535879348090486,0.141076940665371,0.06427457098283931,0.0215962441314554,0.20683111954459202,0.010582010582010581,aligned_v1
vivos,whisper,small,zero_shot,,42,noise,556,0.30154820548909217,0.16433232201487885,0.06644067796610169,0.025090415913200725,0.19681771013490143,0.01384083044982699,aligned_v1
vivos,whisper,small,zero_shot,,42,speech,250,0.5087647778230738,0.34889602178776385,0.08056042031523643,0.02023809523809524,0.30719482619240096,0.01694915254237288,aligned_v1
vivos,whisper,tiny,zero_shot,,42,clean,300,0.49477465708687135,0.24400030866579211,0.11570247933884298,0.06220347917764892,0.3297536323436513,0.026845637583892617,aligned_v1
vivos,whisper,tiny,zero_shot,,42,music,394,0.643639017270737,0.367783239967989,0.14524864598719842,0.06858513189448441,0.43670886075949367,0.037037037037037035,aligned_v1
vivos,whisper,tiny,zero_shot,,42,noise,556,0.6125967628430683,0.3406757823864345,0.13434903047091412,0.06093432633716994,0.4302059496567506,0.01730103806228374,aligned_v1
vivos,whisper,tiny,zero_shot,,42,speech,250,1.4949041989400733,1.207178290049606,0.24898373983739838,0.061659192825112105,0.6223520818115412,0.059322033898305086,aligned_v1
